
            

------MATCH------
            
Player Types:, RANDOM, RANDOM
            
Depths:, -, -
            
Using pruning:, -, -
            
Heuristic prioritizing mills:, -, -
            
Play, Expanded Nodes P1, Play Time (ms) P1, Play Action P1, Expanded Nodes P2, Play Time (ms) P2, Play Action P2
        
0, 24, 0.275846, PLACING, 23, 0.224726, PLACING
1, 22, 0.208806, PLACING, 21, 0.196904, PLACING
2, 20, 0.350383, PLACING, 19, 0.284918, PLACING
3, 20, 0.330574, PLACING, 17, 0.218665, PLACING
4, 19, 0.226125, PLACING, 15, 0.163305, PLACING
5, 22, 0.268809, PLACING, 14, 0.154874, PLACING
6, 17, 0.19531, PLACING, 13, 0.065713, PLACING
7, 12, 0.046962, PLACING, 11, 0.043526, PLACING
8, 10, 0.047832, PLACING, 17, 0.087345, PLACING
9, 12, 0.097251, MOVING, 16, 0.214412, MOVING
10, 11, 0.147932, MOVING, 17, 0.211483, MOVING
11, 10, 0.137778, MOVING, 15, 0.179692, MOVING
12, 17, 0.224911, MOVING, 4, 0.611632, MOVING
13, 16, 0.178339, MOVING, 14, 0.141647, MOVING
14, 14, 0.153287, MOVING, 4, 0.056076, MOVING
15, 10, 0.11962, MOVING, 12, 0.113003, MOVING
16, 10, 0.124526, MOVING, 7, 0.087447, MOVING
17, 13, 0.154777, MOVING, 6, 0.076743, MOVING
18, 13, 0.135975, MOVING, 5, 0.06324, MOVING
19, 19, 0.195454, MOVING, 8, 0.100124, MOVING
20, 15, 0.165388, MOVING, 7, 0.091392, MOVING
21, 16, 0.175686, MOVING, 16, 0.40861, MOVING
22, 13, 0.145134, MOVING, 8, 0.101063, MOVING
23, 13, 0.138682, MOVING, 7, 0.083294, MOVING
24, 13, 0.145914, MOVING, 8, 0.09014, MOVING
25, 11, 0.141797, MOVING, 8, 0.093093, MOVING
26, 12, 0.133933, MOVING, 9, 0.10434, MOVING
27, 10, 0.11615, MOVING, 9, 0.10067, MOVING
28, 9, 0.105269, MOVING, 7, 0.083033, MOVING
29, 11, 0.130668, MOVING, 12, 0.122529, MOVING
30, 11, 0.122643, MOVING, 6, 0.084856, MOVING
31, 10, 0.13097, MOVING, 11, 0.120946, MOVING
32, 6, 0.078984, MOVING, 6, 0.047141, MOVING
33, 9, 0.064837, MOVING, 10, 0.066855, MOVING
34, 8, 0.109835, MOVING, 9, 0.199323, MOVING
35, 7, 0.1039, MOVING, 11, 0.11819, MOVING
36, 6, 0.096546, MOVING, 9, 0.091112, MOVING
37, 8, 0.091061, MOVING, 7, 0.063596, MOVING
38, 7, 0.064647, MOVING, 8, 0.070118, MOVING
39, 9, 0.101698, MOVING, 9, 0.104576, MOVING
40, 7, 0.095036, MOVING, 10, 0.209854, MOVING
41, 10, 0.18857, MOVING, 9, 0.11835, MOVING
42, 11, 0.154793, MOVING, 8, 0.434881, MOVING
43, 9, 0.165505, MOVING, 9, 0.194922, MOVING
44, 9, 0.769051, MOVING, 8, 0.151676, MOVING
45, 10, 0.137737, MOVING, 54, 0.685957, FLYING
46, 5, 0.067381, MOVING, 51, 0.382871, FLYING
47, 5, 0.03819, MOVING, 51, 0.337022, FLYING
48, 6, 0.080315, MOVING, 54, 0.348472, FLYING
49, 8, 0.138174, MOVING, 51, 0.497341, FLYING
50, 7, 0.064154, MOVING, 54, 0.905067, FLYING

Total Elapsed Time:, 105.395822, Winner:, 0.5
            

------MATCH------
            
Player Types:, MINIMAX, MINIMAX
            
Depths:, 2, 2
            
Using pruning:, true, true
            
Heuristic prioritizing mills:, false, false
            
Play, Expanded Nodes P1, Play Time (ms) P1, Play Action P1, Expanded Nodes P2, Play Time (ms) P2, Play Action P2
        
0, 600, 116.735271, PLACING, 552, 84.623181, PLACING
1, 506, 66.127878, PLACING, 464, 50.318379, PLACING
2, 464, 46.842344, PLACING, 424, 44.309683, PLACING
3, 384, 42.138093, PLACING, 460, 49.163987, PLACING
4, 385, 38.54438, PLACING, 322, 30.432049, PLACING
5, 280, 23.392927, PLACING, 430, 46.951154, PLACING
6, 450, 43.99708, PLACING, 600, 56.939485, PLACING
7, 450, 39.497046, PLACING, 430, 38.610803, PLACING
8, 450, 39.865177, PLACING, 600, 54.046533, PLACING
9, 56, 8.902141, MOVING, 68, 8.827271, MOVING
10, 220, 57.335252, MOVING, 2480, 555.845707, FLYING
11, 53, 9.292589, MOVING, 2747, 640.704166, FLYING
12, 62, 7.152849, MOVING

Total Elapsed Time:, 207.723298, Winner:, 0
            

------MATCH------
            
Player Types:, MINIMAX, MINIMAX
            
Depths:, 3, 3
            
Using pruning:, true, true
            
Heuristic prioritizing mills:, false, false
            
Play, Expanded Nodes P1, Play Time (ms) P1, Play Action P1, Expanded Nodes P2, Play Time (ms) P2, Play Action P2
        
0, 1656, 205.316182, PLACING, 1518, 184.123808, PLACING
1, 1466, 157.439528, PLACING, 1344, 176.385326, PLACING
2, 1220, 225.74455, PLACING, 1529, 251.631714, PLACING
3, 998, 141.224276, PLACING, 1332, 164.095007, PLACING
4, 1217, 103.346996, PLACING, 1277, 112.359758, PLACING
5, 706, 53.838506, PLACING, 1085, 90.496671, PLACING
6, 626, 55.516319, PLACING, 594, 43.20578, PLACING
7, 857, 63.801459, PLACING, 950, 72.844319, PLACING
8, 857, 63.672305, PLACING, 376, 32.258723, PLACING
9, 112, 12.860592, MOVING, 131, 13.982648, MOVING
10, 298, 37.376703, MOVING, 151, 16.61137, MOVING
11, 175, 17.362281, MOVING, 268, 26.466395, MOVING
12, 2469, 428.542159, MOVING, 96, 7.434032, MOVING
13, 683, 147.93344, MOVING, 4721, 127.793459, FLYING
14, 324, 85.874694, MOVING, 5468, 365.401034, FLYING
15, 479, 128.106485, MOVING, 5484, 488.834893, FLYING
16, 792, 417.673402, MOVING, 5882, 41.967289, FLYING
17, 580, 305.427136, MOVING

Total Elapsed Time:, 876.398298, Winner:, 0
            

------MATCH------
            
Player Types:, RANDOM, MINIMAX
            
Depths:, -, 1
            
Using pruning:, -, true
            
Heuristic prioritizing mills:, -, false
            
Play, Expanded Nodes P1, Play Time (ms) P1, Play Action P1, Expanded Nodes P2, Play Time (ms) P2, Play Action P2
        
0, 24, 0.22579, PLACING, 46, 5.805234, PLACING
1, 22, 0.11833, PLACING, 42, 3.198998, PLACING
2, 20, 0.069515, PLACING, 38, 3.247146, PLACING
3, 18, 0.058319, PLACING, 34, 1.839151, PLACING
4, 19, 0.073768, PLACING, 38, 2.240036, PLACING
5, 15, 0.047854, PLACING, 28, 1.296795, PLACING
6, 13, 0.041139, PLACING, 34, 1.773151, PLACING
7, 12, 0.055637, PLACING, 32, 2.573977, PLACING
8, 11, 0.116495, PLACING, 20, 2.746742, PLACING
9, 8, 0.063803, MOVING, 12, 1.326525, MOVING
10, 6, 0.10957, MOVING, 8, 2.845275, MOVING
11, 6, 0.075947, MOVING, 14, 0.883045, MOVING
12, 7, 0.047799, MOVING, 14, 0.813881, MOVING
13, 7, 0.045516, MOVING, 16, 0.944766, MOVING
14, 7, 0.04543, MOVING, 14, 1.081236, MOVING
15, 9, 0.0665, MOVING, 20, 2.257967, MOVING
16, 8, 0.077766, MOVING, 14, 1.437191, MOVING
17, 8, 0.082431, MOVING, 24, 2.192984, MOVING
18, 9, 0.107245, MOVING, 10, 1.653906, MOVING
19, 11, 0.109888, MOVING, 14, 1.757577, MOVING
20, 9, 0.102963, MOVING, 10, 1.295841, MOVING
21, 21, 0.181308, MOVING, 10, 1.17805, MOVING
22, 17, 0.154901, MOVING, 24, 3.387151, MOVING
23, 3, 0.040902, MOVING, 18, 1.942278, MOVING
24, 5, 0.060431, MOVING, 30, 4.440791, MOVING
25, 39, 0.415421, FLYING, 16, 4.97447, MOVING
26, 46, 0.541333, FLYING, 16, 5.206184, MOVING
27, 46, 0.594682, FLYING, 16, 3.946885, MOVING
28, 46, 0.39854, FLYING, 14, 3.194606, MOVING
29, 46, 0.383078, FLYING, 16, 4.260538, MOVING
30, 39, 0.422917, FLYING, 16, 3.727226, MOVING
31, 39, 0.33904, FLYING, 16, 3.483207, MOVING
32, 39, 0.350504, FLYING, 16, 5.018339, MOVING
33, 46, 0.423174, FLYING, 18, 4.878968, MOVING
34, 39, 0.326742, FLYING, 20, 4.427932, MOVING
35, 39, 0.339117, FLYING, 18, 4.419711, MOVING
36, 39, 0.334604, FLYING, 14, 4.272423, MOVING
37, 39, 0.285029, FLYING, 16, 3.507307, MOVING
38, 39, 0.312354, FLYING, 22, 5.265852, MOVING
39, 46, 0.344042, FLYING, 30, 5.808469, MOVING

Total Elapsed Time:, 471.815424, Winner:, 1
            

------MATCH------
            
Player Types:, RANDOM, MINIMAX
            
Depths:, -, 2
            
Using pruning:, -, true
            
Heuristic prioritizing mills:, -, false
            
Play, Expanded Nodes P1, Play Time (ms) P1, Play Action P1, Expanded Nodes P2, Play Time (ms) P2, Play Action P2
        
0, 24, 0.105923, PLACING, 552, 82.138187, PLACING
1, 22, 0.057976, PLACING, 464, 55.831611, PLACING
2, 21, 0.123557, PLACING, 463, 54.826835, PLACING
3, 19, 0.048571, PLACING, 354, 33.173575, PLACING
4, 17, 0.048004, PLACING, 390, 33.708387, PLACING
5, 20, 0.109951, PLACING, 384, 33.337209, PLACING
6, 15, 0.042386, PLACING, 482, 45.246257, PLACING
7, 19, 0.055394, PLACING, 307, 24.920635, PLACING
8, 19, 0.053511, PLACING, 180, 12.431706, PLACING
9, 8, 0.039774, MOVING, 102, 11.085503, MOVING
10, 16, 0.118998, MOVING, 161, 17.667643, MOVING
11, 5, 0.027467, MOVING, 318, 34.654727, MOVING
12, 5, 0.066551, MOVING, 287, 33.468349, MOVING
13, 13, 0.093044, MOVING, 126, 17.594282, MOVING
14, 14, 0.078922, MOVING, 157, 27.247553, MOVING
15, 8, 0.039935, MOVING, 222, 44.422413, MOVING
16, 48, 0.349518, FLYING, 108, 26.842405, MOVING
17, 45, 0.197055, FLYING, 90, 21.939892, MOVING
18, 50, 0.363602, FLYING, 86, 27.248123, MOVING

Total Elapsed Time:, 719.23677, Winner:, 1
            

------MATCH------
            
Player Types:, RANDOM, MINIMAX
            
Depths:, -, 3
            
Using pruning:, -, true
            
Heuristic prioritizing mills:, -, false
            
Play, Expanded Nodes P1, Play Time (ms) P1, Play Action P1, Expanded Nodes P2, Play Time (ms) P2, Play Action P2
        
0, 24, 0.066247, PLACING, 1518, 215.782944, PLACING
1, 22, 0.05387, PLACING, 1344, 187.538518, PLACING
2, 20, 0.067638, PLACING, 1529, 218.769384, PLACING
3, 19, 0.078628, PLACING, 998, 117.415452, PLACING
4, 17, 0.044821, PLACING, 1191, 121.787721, PLACING
5, 19, 0.079515, PLACING, 1012, 91.685258, PLACING
6, 19, 0.046679, PLACING, 887, 69.793903, PLACING
7, 18, 0.050331, PLACING, 839, 64.950953, PLACING
8, 12, 0.034024, PLACING, 344, 25.56642, PLACING
9, 6, 0.031352, MOVING, 160, 16.317756, MOVING
10, 14, 0.057067, MOVING, 308, 32.635569, MOVING
11, 24, 0.08977, MOVING, 428, 46.983884, MOVING
12, 7, 0.037514, MOVING, 675, 108.482377, MOVING
13, 4, 0.02083, MOVING, 852, 172.100487, MOVING
14, 42, 0.185523, FLYING, 434, 104.097721, MOVING

Total Elapsed Time:, 601.161758, Winner:, 1
            

------MATCH------
            
Player Types:, MINIMAX, MINIMAX
            
Depths:, 1, 2
            
Using pruning:, true, true
            
Heuristic prioritizing mills:, false, false
            
Play, Expanded Nodes P1, Play Time (ms) P1, Play Action P1, Expanded Nodes P2, Play Time (ms) P2, Play Action P2
        
0, 48, 2.36631, PLACING, 552, 53.521353, PLACING
1, 44, 2.21935, PLACING, 466, 46.005239, PLACING
2, 42, 2.120761, PLACING, 428, 40.096701, PLACING
3, 38, 2.648145, PLACING, 460, 41.852694, PLACING
4, 38, 1.966502, PLACING, 455, 40.701768, PLACING
5, 38, 2.537781, PLACING, 463, 42.570585, PLACING
6, 38, 1.682058, PLACING, 463, 41.456819, PLACING
7, 38, 2.409527, PLACING, 463, 41.509578, PLACING
8, 38, 1.680485, PLACING, 455, 34.81336, PLACING
9, 10, 2.054156, MOVING, 2868, 991.978664, FLYING
10, 14, 1.738391, MOVING

Total Elapsed Time:, 402.737761, Winner:, 0
            

------MATCH------
            
Player Types:, MINIMAX, MINIMAX
            
Depths:, 1, 3
            
Using pruning:, true, true
            
Heuristic prioritizing mills:, false, false
            
Play, Expanded Nodes P1, Play Time (ms) P1, Play Action P1, Expanded Nodes P2, Play Time (ms) P2, Play Action P2
        
0, 48, 4.17741, PLACING, 1518, 217.785989, PLACING
1, 44, 2.25753, PLACING, 1344, 162.602029, PLACING
2, 42, 2.407004, PLACING, 1228, 218.512652, PLACING
3, 38, 3.837433, PLACING, 1469, 257.267097, PLACING
4, 38, 2.755831, PLACING, 893, 164.144651, PLACING
5, 32, 4.079413, PLACING, 1332, 207.637179, PLACING
6, 36, 1.852063, PLACING, 1799, 304.309913, PLACING
7, 36, 2.55888, PLACING, 1807, 251.739469, PLACING
8, 42, 2.044822, PLACING, 519, 43.099068, PLACING
9, 8, 0.358633, MOVING, 161, 16.293288, MOVING
10, 30, 3.38977, MOVING, 5231, 11.726779, FLYING
11, 10, 2.841127, MOVING, 5307, 295.557681, FLYING
12, 20, 3.607473, MOVING

Total Elapsed Time:, 195.924076, Winner:, 0
            

------MATCH------
            
Player Types:, MINIMAX, MINIMAX
            
Depths:, 2, 3
            
Using pruning:, true, true
            
Heuristic prioritizing mills:, false, false
            
Play, Expanded Nodes P1, Play Time (ms) P1, Play Action P1, Expanded Nodes P2, Play Time (ms) P2, Play Action P2
        
0, 600, 140.803364, PLACING, 1518, 381.214088, PLACING
1, 506, 56.428358, PLACING, 1344, 233.981827, PLACING
2, 466, 67.012761, PLACING, 1228, 202.866319, PLACING
3, 386, 41.037214, PLACING, 1481, 226.164532, PLACING
4, 389, 44.529386, PLACING, 1293, 197.28453, PLACING
5, 608, 80.236825, PLACING, 852, 106.549534, PLACING
6, 456, 63.534076, PLACING, 722, 101.26524, PLACING
7, 316, 52.022966, PLACING, 1834, 244.027396, PLACING
8, 316, 29.446185, PLACING, 894, 95.221947, PLACING
9, 171, 13.653279, MOVING, 182, 13.782171, MOVING
10, 82, 18.500322, MOVING, 298, 31.721436, MOVING
11, 161, 25.313112, MOVING, 5184, 383.05957, FLYING
12, 39, 6.847957, MOVING, 5356, 379.950571, FLYING
13, 138, 31.351934, MOVING, 6151, 726.390395, FLYING
14, 127, 26.495065, MOVING, 6022, 551.86275, FLYING
15, 131, 40.498763, MOVING, 6034, 746.475384, FLYING
16, 100, 19.644692, MOVING, 6169, 681.7577, FLYING
17, 105, 20.2035, MOVING, 6153, 663.356294, FLYING
18, 122, 27.011545, MOVING, 5975, 624.045648, FLYING
19, 130, 26.241788, MOVING, 5962, 190.659657, FLYING
20, 84, 35.774568, MOVING, 5745, 556.288368, FLYING
21, 60, 12.87186, MOVING, 8736, 871.421079, FLYING
22, 77, 14.5621, MOVING

Total Elapsed Time:, 117.85214, Winner:, 0
            

------MATCH------
            
Player Types:, MINIMAX, MINIMAX
            
Depths:, 3, 3
            
Using pruning:, false, true
            
Heuristic prioritizing mills:, false, false
            
Play, Expanded Nodes P1, Play Time (ms) P1, Play Action P1, Expanded Nodes P2, Play Time (ms) P2, Play Action P2
        
0, 12744, 203.385269, PLACING, 1518, 160.586514, PLACING
1, 9750, 863.942479, PLACING, 1344, 141.706088, PLACING
2, 8184, 678.097464, PLACING, 1529, 141.670721, PLACING
3, 7990, 644.533905, PLACING, 1050, 98.590216, PLACING
4, 5701, 420.269934, PLACING, 1407, 122.816601, PLACING
5, 3764, 245.204318, PLACING, 1779, 155.873768, PLACING
6, 4640, 341.271352, PLACING, 1779, 152.517513, PLACING
7, 6034, 775.365395, PLACING, 1799, 264.761401, PLACING
8, 6034, 935.380598, PLACING, 1412, 225.506823, PLACING
9, 5204, 200.802423, MOVING, 5815, 496.772302, FLYING
10, 1640, 413.161091, MOVING, 8664, 917.132351, FLYING
11, 1308, 322.988732, MOVING, 7402, 318.080574, FLYING
12, 3985, 954.6477, MOVING, 7862, 515.605817, FLYING
13, 3408, 850.910593, MOVING

Total Elapsed Time:, 567.590513, Winner:, 0
            

------MATCH------
            
Player Types:, MINIMAX, MINIMAX
            
Depths:, 3, 3
            
Using pruning:, true, true
            
Heuristic prioritizing mills:, true, false
            
Play, Expanded Nodes P1, Play Time (ms) P1, Play Action P1, Expanded Nodes P2, Play Time (ms) P2, Play Action P2
        
0, 1656, 199.90466, PLACING, 1518, 168.21312, PLACING
1, 1466, 154.47351, PLACING, 1344, 148.007693, PLACING
2, 3824, 326.877321, PLACING, 1529, 150.330941, PLACING
3, 2887, 247.421275, PLACING, 1050, 99.633155, PLACING
4, 1912, 161.623092, PLACING, 1407, 126.710217, PLACING
5, 1729, 148.354167, PLACING, 1407, 124.947493, PLACING
6, 1729, 154.751269, PLACING, 1423, 130.589449, PLACING
7, 1683, 136.718592, PLACING, 1407, 121.815876, PLACING
8, 1729, 143.153609, PLACING, 1010, 87.11985, PLACING
9, 458, 117.073618, MOVING, 8698, 795.17539, FLYING
10, 643, 164.604636, MOVING, 8874, 54.197682, FLYING
11, 1146, 305.100674, MOVING

Total Elapsed Time:, 271.341776, Winner:, 0
